"","ID","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","x1_p","x2_p","x3_p","x4_p","x5_p","x6_p","x7_p","x8_p","x9_p","x10_p","x11_p","pred.asli","pred.disk","pred.asli1","pred.disk1"
"21551",21551,33,23628,57,0.756279553,0.973505458,2997,0.877543552,0,173,5,2.3,0,2,2,3,1,4,3,1,1,1,3,3,1,1,0,0
"15989",15989,406,31952,115,0.750232722,0.997113867,1056,0.580757576,0,0,3.7,3,0,2,2,3,1,5,2,1,1,1,3,4,1,1,0,0
"36011",36011,62,17366,15,0.9,1,529,1,0,0,2.7,3,0,2,2,3,3,5,2,3,1,1,2,4,1,1,0,0
"19175",19175,144,26408,70,0.786391249,0.84437853,792,0.475783476,47,332,3.7,2.3,1,2,2,3,2,2,2,1,2,1,3,3,1,1,0,0
"4001",4001,21,26722,15,0.762525253,0.723037518,2761,0.378709961,1270,25556,1,0.7,1,2,2,3,1,2,3,1,4,3,2,2,1,2,0,1
"1179",1179,12,20559,9,0.69271664,0.687518459,744,0.682352941,2,7798,3.7,2.7,0,2,2,3,1,2,2,1,2,2,3,4,1,1,0,0
"22454",22454,290,69144,162,0.753988325,0.98001224,27194,0.902288397,0,0,22.7,10,0,2,4,3,1,4,4,1,1,1,5,5,1,1,0,0
"984",984,109,27629,68,0.700051077,0.892519252,17500,0.343246173,0,225,24.3,5.3,0,2,2,3,1,3,4,1,1,1,5,5,1,1,0,0
"25868",25868,15,10898,10,0.771851852,0.885185185,5942,0.71678954,1004,16667,6,4,0,2,2,3,1,3,3,1,4,2,4,5,1,1,0,0
"33668",33668,93,20795,36,0.720727768,0.967118819,7781,0.696961543,0,1181,12,6,0,2,2,3,1,3,4,1,1,1,5,5,1,1,0,0
"38782",38782,36,11144,20,0.614849929,1,17868,1,0,0,9,2,0,2,2,3,1,5,4,3,1,1,5,3,1,1,0,0
"44905",44905,10,24494,26,0.717787583,0.929214203,153,0.888888889,0,80,8.7,4,0,2,2,3,1,3,2,1,1,1,5,5,1,1,0,0
"48725",48725,0,683,1,0.805555556,1,0,0,106,9374,2.7,1.3,0,1,1,2,2,5,1,1,2,2,2,2,1,1,0,0
"27250",27250,104,31933,46,0.68715405,0.990518586,1183,0.428130021,0,33334,3.7,2.7,0,2,2,3,1,4,2,1,1,4,3,4,1,1,0,0
"1060",1060,272,24742,33,0.768390372,1,4281,1,0,0,6.7,3.3,0,2,2,3,1,5,3,3,1,1,4,4,1,1,0,0
"6277",6277,6,8962,4,0.568181818,1,2181,1,118,17722,5.7,2.7,0,2,1,2,1,5,3,3,3,3,4,4,1,1,0,0
"19933",19933,157,25923,19,0.663620424,1,2839,0.949796472,638,30865,4.3,2.7,0,2,2,3,1,5,3,2,3,4,3,4,1,1,0,0
"13436",13436,2,4053,5,0.690476191,0.964285714,233,1,1451,18253,1.3,1,0,1,1,2,1,3,2,3,4,3,2,2,1,1,0,0
"5662",5662,6,26797,16,0.646390578,1,2761,0.976190476,0,619,7.7,7.3,0,2,2,3,1,5,3,2,1,1,4,5,1,1,0,0
"1287",1287,475,21320,57,0.789943915,0.997530864,10861,0.846783057,0,294,10.3,2.7,0,2,2,3,2,5,4,1,1,1,5,4,1,1,0,0
"31983",31983,11,19431,17,0.812544841,0.880044662,306,1,0,20,3.3,2,0,2,2,3,2,3,2,3,1,1,2,3,1,1,0,0
"36151",36151,12,18249,22,0.824951267,0.976218324,5247,0.374532613,0,990,10,5.3,0,2,2,3,2,4,3,1,1,1,5,5,1,1,0,0
"9433",9433,23,23080,12,0.673733662,0.684741092,7994,0.603852766,1848,52724,5,2.7,0,2,2,3,1,2,4,1,5,5,3,4,1,1,0,0
"38899",38899,120,81810,92,0.78631078,0.918666214,8217,0.692715821,620,33619,8,5,0,2,4,3,2,3,4,1,3,4,5,5,1,1,0,0
"16953",16953,9,10438,9,0.735757576,1,1478,0.955555556,56,16135,5.7,2,0,2,2,3,1,5,2,2,2,2,4,3,1,1,0,0
"47250",47250,110,44920,56,0.770020588,0.995690135,3892,0.647667594,0,0,14.3,7.7,0,2,2,3,1,5,3,1,1,1,5,5,1,1,0,0
"40397",40397,43,24210,21,0.778792582,1,4333,0.853381678,0,133,4.7,3.3,0,2,2,3,2,5,3,1,1,1,3,4,1,1,0,0
"2035",2035,263,59843,159,0.746170741,0.998079518,5281,1,485,4444,13,4,1,2,4,3,1,5,3,3,3,2,5,5,1,1,0,0
"29307",29307,145,20033,45,0.781773063,0.998324958,3647,0.495283633,0,0,6.3,4,0,2,2,3,2,5,3,1,1,1,4,5,1,1,0,0
"46037",46037,1,4701,3,0.686965812,0.974358974,5119,0.968544375,1202,12458,2.3,2,0,1,1,2,1,4,3,2,4,2,2,3,1,1,0,0
"37707",37707,1,2547,3,0.777777778,0.925925926,1100,0.888888889,347,20700,2.7,1.7,0,1,1,2,2,3,2,1,3,3,2,2,1,1,0,0
"34865",34865,129,81267,91,0.71997868,0.995265011,7944,1,0,0,2.7,1.7,0,2,4,3,1,5,4,3,1,1,2,2,1,1,0,0
"43587",43587,17,34932,14,0.766342892,0.616455956,3997,0.538874965,0,0,4.7,3,0,2,2,3,1,2,3,1,1,1,3,4,1,1,0,0
"26891",26891,172,43617,60,0.741406922,0.992473795,9375,0.731708058,0,1767,15.3,4.7,0,2,2,3,1,4,4,1,1,1,5,5,1,1,0,0
"30117",30117,13,4203,6,0.727407407,1,7231,1,564,12167,6,3.7,0,2,1,2,1,5,3,3,3,2,4,5,1,1,0,0
"23508",23508,85,11167,46,0.765342484,1,1481,1,376,17688,5.3,3,0,2,2,3,1,5,2,3,3,3,3,4,1,1,0,0
"44454",44454,4,11560,3,0.777777778,0.648148148,5800,0.189400898,0,0,5.3,1.3,0,1,2,2,2,2,3,1,1,1,3,2,1,1,0,0
"23995",23995,9,14448,18,0.675348734,0.789487509,11947,0.800685021,520,73182,15.7,7.7,0,2,2,3,1,2,4,1,3,6,5,5,1,1,0,0
"1327",1327,396,51847,95,0.730633558,0.995825596,10947,0.995871994,0,20,10,7,0,2,2,3,1,5,4,3,1,1,5,5,1,1,0,0
"4068",4068,144,25564,62,0.536178148,1,2514,1,0,0,6.3,5.7,0,2,2,3,1,5,3,3,1,1,4,5,1,1,0,0
"35629",35629,95,49911,27,0.731369618,0.809430844,51278,0.744119674,0,220,16,6.7,0,2,2,3,1,2,4,1,1,1,5,5,1,1,0,0
"34750",34750,62,25760,9,0.950617284,1,4639,0.856874005,0,260,0,0,0,2,2,3,3,5,3,1,1,1,1,1,1,1,0,0
"4489",4489,73,7497,21,0.957215004,1,16503,1,0,20,3.7,2,0,2,1,3,3,5,4,3,1,1,3,3,1,1,0,0
"12260",12260,30,24740,28,0.69899447,0.996996997,2400,0.83600713,0,0,4.3,3,0,2,2,3,1,5,3,1,1,1,3,4,1,1,0,0
"35867",35867,331,22098,16,0.790572716,0.963963964,3897,0.960062342,1496,9222,3.7,2.7,0,2,2,3,2,3,3,2,4,2,3,4,1,1,0,0
"21820",21820,0,0,0,0,0,0,0,261,18893,3.7,1.7,0,1,1,1,1,1,1,1,3,3,3,2,1,1,0,0
"13151",13151,8,31040,15,0.741813742,0.778717314,17211,0.375260628,0,0,9,4.7,0,2,2,3,1,2,4,1,1,1,5,5,1,1,0,0
"16200",16200,248,42503,43,0.706924581,0.944132747,742,0.471957672,16,927,1.3,1,0,2,2,3,1,3,2,1,2,1,2,2,1,1,0,0
"43098",43098,102,39967,56,0.669517006,0.994647401,9589,0.741275791,1,1220,16.3,3,0,2,2,3,1,5,4,1,1,1,5,4,1,1,0,0
"10731",10731,197,85007,119,0.742448829,1,697,0.916666667,0,920,22.7,18,0,2,4,3,1,5,2,1,1,1,5,5,1,1,0,0
"37471",37471,290,33956,52,0.663391729,0.930190382,2775,0.991869919,128,6887,6.3,5.7,0,2,2,3,1,3,3,2,3,2,4,5,1,1,0,0
"27307",27307,134,110863,182,0.802012041,0.827082776,26056,0.815895903,0,0,2,1.3,1,2,5,3,2,2,4,1,1,1,2,2,1,1,0,0
"3386",3386,49,40604,19,0.789236267,1,4128,0.984615385,1047,34040,6.3,4.7,0,2,2,3,2,5,3,2,4,4,4,5,1,1,0,0
"43390",43390,68,39558,20,0.623315799,0.928221811,994,0.857142857,0,33334,4,2.3,0,2,2,3,1,3,2,1,1,4,3,3,1,1,0,0
"387",387,1,543,1,0.333333333,1,11290,0.881932137,1498,28092,12,10,0,1,1,2,1,5,4,1,4,3,5,5,1,1,0,0
"25291",25291,23,7046,14,0.717281511,1,16228,0.941468614,0,0,3,1.3,0,2,1,3,1,5,4,1,1,1,2,2,1,1,0,0
"8792",8792,457,31536,46,0.81421051,0.99472563,12456,0.860759546,0,963,16.3,8.7,0,2,2,3,2,5,4,1,1,1,5,5,1,1,0,0
"25560",25560,210,56213,210,0.7385217,1,7597,0.788977584,0,0,19.3,7.3,0,2,2,3,1,5,3,1,1,1,5,5,1,1,0,0
"28239",28239,38,5398,4,0.654761905,1,20383,0.665934179,1,5233,4,2.3,1,2,1,2,1,5,4,1,1,2,3,3,1,1,0,0
"42463",42463,15,32888,30,0.82611379,0.958993986,7453,0.838393551,0,0,6,3.3,0,2,2,3,2,3,3,1,1,1,4,4,1,1,0,0
"46989",46989,3,4043,8,0.582972583,0.961038961,4261,0.866213152,3,12483,6.3,3,0,1,1,3,1,3,3,1,2,2,4,4,1,1,0,0
"22878",22878,11,35515,25,0.733047498,0.982078853,1392,1,0,0,10.7,3.3,0,2,2,3,1,4,2,3,1,1,5,4,1,1,0,0
"8301",8301,28,13269,13,0.65367893,0.937625418,1781,0.6738437,3348,36667,2,1,1,2,2,3,1,3,2,1,6,4,2,2,2,2,1,1
"12439",12439,169,38400,39,0.680439715,0.978924999,5197,0.974811654,0,2230,15.7,8,0,2,2,3,1,4,3,2,1,1,5,5,1,1,0,0
